dataset_tag,video_id,duration_min,speaking_words_count,avg_speaking_speed_wpm,scenes_count,avg_scene_change_per_min
newcastle_mech1750_lecture_level1_agregg_2025,pfsGQ35t_nI,10.15,1978,194.84,0,0.0
newcastle_mech1750_lecture_level1_agregg_2025,QgvNlgWubKk,6.53,1226,187.82,17,2.6
newcastle_mech1750_lecture_level1_agregg_2025,Tr0AqoKIUjA,8.07,1786,221.37,5,0.62
newcastle_mech1750_lecture_level1_agregg_2025,otCFPfAZqb0,3.97,907,228.27,0,0.0
newcastle_mech1750_lecture_level1_agregg_2025,RepS7Q1muC0,2.89,671,232.35,6,2.08
newcastle_mech1750_lecture_level1_agregg_2025,SXrXL8Bc9Gk,9.19,1918,208.75,18,1.96
newcastle_mech1750_lecture_level1_agregg_2025,q2Hgxjv9Uxg,8.12,1665,204.93,12,1.48
newcastle_mech1750_lecture_level1_agregg_2025,fKfHIl0QrtY,7.45,1497,201.03,3,0.4
newcastle_mech1750_lecture_level1_agregg_2025,w3Qy6r0rOVg,3.77,653,173.32,0,0.0
newcastle_mech1750_lecture_level1_agregg_2025,naLNdZ4pVaQ,6.81,1682,247.15,14,2.06
newcastle_mech1750_lecture_level1_agregg_2025,DkRcrKDJ3f0,3.08,622,202.25,5,1.63
newcastle_mech1750_lecture_level1_agregg_2025,U-lYJH3xS6A,2.33,479,205.52,12,5.15
newcastle_mech1750_lecture_level1_agregg_2025,QI0Myi45MFo,2.79,519,186.13,3,1.08
newcastle_mech1750_lecture_level1_agregg_2025,R5GVD_tzt6A,2.21,417,188.55,3,1.36
newcastle_mech1750_lecture_level1_agregg_2025,o0qv42G_Enk,2.16,457,211.48,1,0.46
newcastle_mech1750_lecture_level1_agregg_2025,v6EwT5TB6Ak,1.48,294,199.28,5,3.39
newcastle_mech1750_lecture_level1_agregg_2025,av3PnE_3wWE,6.37,1432,224.79,6,0.94
newcastle_mech1750_lecture_level1_agregg_2025,XDKGPwTxu1k,7.49,1741,232.4,4,0.53
newcastle_mech1750_lecture_level1_agregg_2025,3yuubFyM09g,7.28,1388,190.67,32,4.4
newcastle_mech1750_lecture_level1_agregg_2025,tGqy7OFc09w,4.69,868,184.91,3,0.64
newcastle_mech1750_lecture_level1_agregg_2025,-XOj8ODLkP4,10.25,2168,211.6,16,1.56
newcastle_mech1750_lecture_level1_agregg_2025,bNdbjNVh1z0,6.53,1245,190.68,4,0.61
newcastle_mech1750_lecture_level1_agregg_2025,xjrnZOSaGwA,5.88,1150,195.5,11,1.87
newcastle_mech1750_lecture_level1_agregg_2025,j6SeaP91jZc,4.82,996,206.55,15,3.11
newcastle_mech1750_lecture_level1_agregg_2025,P6GzWeu9VGA,6.59,1368,207.5,0,0.0
newcastle_mech1750_lecture_level1_agregg_2025,pEc0ApnP0f4,5.74,1229,214.09,12,2.09
newcastle_mech1750_lecture_level1_agregg_2025,w3C3B6XM1Fk,3.87,817,211.27,10,2.59
newcastle_mech1750_lecture_level1_agregg_2025,XecidyghmdQ,8.17,1898,232.18,9,1.1
newcastle_mech1750_lecture_level1_agregg_2025,aDpeyTDW3Io,5.59,1279,228.85,13,2.33
newcastle_mech1750_lecture_level1_agregg_2025,ZxiN1Lr7oRU,3.48,750,215.51,7,2.01
newcastle_mech1750_lecture_level1_agregg_2025,fe7zKIxtmWc,2.84,588,207.2,9,3.17
newcastle_mech1750_lecture_level1_agregg_2025,besVGB6cPDg,2.77,568,204.93,13,4.69
newcastle_mech1750_lecture_level1_agregg_2025,-82KvZnJMnQ,10.89,2382,218.79,20,1.84
newcastle_mech1750_lecture_level1_agregg_2025,3WvmJN4Ft3w,12.38,2853,230.5,25,2.02
newcastle_mech1750_lecture_level1_agregg_2025,klFUk25F_DY,13.34,2918,218.67,51,3.82
newcastle_mech1750_lecture_level1_agregg_2025,LVgXCA5pkns,6.08,1228,201.96,30,4.93
newcastle_mech1750_lecture_level1_agregg_2025,jVLn12stmwI,8.34,1677,200.99,0,0.0
newcastle_mech1750_lecture_level1_agregg_2025,6lS4rYzkNDg,5.38,1099,204.26,5,0.93
newcastle_mech1750_lecture_level1_agregg_2025,iiAUwHWYNPw,1.13,264,233.97,1,0.89
newcastle_mech1750_lecture_level1_agregg_2025,b_OFklZ5gzI,2.91,576,198.01,4,1.38
newcastle_mech1750_lecture_level1_agregg_2025,26dBMUlaHJ8,4.26,838,196.9,0,0.0
newcastle_mech1750_lecture_level1_agregg_2025,xFNNEYclvis,11.94,2395,200.52,9,0.75
newcastle_mech1750_lecture_level1_agregg_2025,5zEhEwfIJOk,5.69,1220,214.24,3,0.53
newcastle_mech1750_lecture_level1_agregg_2025,6vULH16v9FE,5.52,1175,212.73,6,1.09
newcastle_mech1750_lecture_level1_agregg_2025,HKSdW1aHM0w,6.61,1402,211.96,21,3.17
newcastle_mech1750_lecture_level1_agregg_2025,stNOqGDYej4,3.03,648,213.53,35,11.53
newcastle_mech1750_lecture_level1_agregg_2025,lTdv3rEQz5E,1.72,344,199.81,3,1.74
newcastle_mech1750_lecture_level1_agregg_2025,VPm23vOkp-U,4.05,778,192.25,9,2.22
newcastle_mech1750_lecture_level1_agregg_2025,2PP_a-tDJAY,2.96,636,215.06,11,3.72
newcastle_mech1750_lecture_level1_agregg_2025,l60ktEyuXIQ,8.65,1867,215.84,34,3.93
newcastle_mech1750_lecture_level1_agregg_2025,0GPtRiEc5gY,6.69,1574,235.38,45,6.73
