dataset_tag,video_id,average_percentage_viewed
newcastle_mech1750_lecture_level1_agregg_2025,pfsGQ35t_nI,65.54
newcastle_mech1750_lecture_level1_agregg_2025,QgvNlgWubKk,73.85
newcastle_mech1750_lecture_level1_agregg_2025,Tr0AqoKIUjA,60.72
newcastle_mech1750_lecture_level1_agregg_2025,otCFPfAZqb0,73.86
newcastle_mech1750_lecture_level1_agregg_2025,RepS7Q1muC0,45.5
newcastle_mech1750_lecture_level1_agregg_2025,SXrXL8Bc9Gk,66.13
newcastle_mech1750_lecture_level1_agregg_2025,q2Hgxjv9Uxg,68.39
newcastle_mech1750_lecture_level1_agregg_2025,fKfHIl0QrtY,67.47
newcastle_mech1750_lecture_level1_agregg_2025,w3Qy6r0rOVg,79.25
newcastle_mech1750_lecture_level1_agregg_2025,naLNdZ4pVaQ,69.2
newcastle_mech1750_lecture_level1_agregg_2025,DkRcrKDJ3f0,78.13
newcastle_mech1750_lecture_level1_agregg_2025,U-lYJH3xS6A,42.01
newcastle_mech1750_lecture_level1_agregg_2025,QI0Myi45MFo,76.62
newcastle_mech1750_lecture_level1_agregg_2025,R5GVD_tzt6A,81.04
newcastle_mech1750_lecture_level1_agregg_2025,o0qv42G_Enk,82.09
newcastle_mech1750_lecture_level1_agregg_2025,v6EwT5TB6Ak,82.56
newcastle_mech1750_lecture_level1_agregg_2025,av3PnE_3wWE,75.31
newcastle_mech1750_lecture_level1_agregg_2025,XDKGPwTxu1k,64.78
newcastle_mech1750_lecture_level1_agregg_2025,3yuubFyM09g,65.18
newcastle_mech1750_lecture_level1_agregg_2025,tGqy7OFc09w,79.27
newcastle_mech1750_lecture_level1_agregg_2025,-XOj8ODLkP4,65.38
newcastle_mech1750_lecture_level1_agregg_2025,bNdbjNVh1z0,67.49
newcastle_mech1750_lecture_level1_agregg_2025,xjrnZOSaGwA,71.2
newcastle_mech1750_lecture_level1_agregg_2025,j6SeaP91jZc,36.09
newcastle_mech1750_lecture_level1_agregg_2025,P6GzWeu9VGA,77.03
newcastle_mech1750_lecture_level1_agregg_2025,pEc0ApnP0f4,71.83
newcastle_mech1750_lecture_level1_agregg_2025,w3C3B6XM1Fk,75.8
newcastle_mech1750_lecture_level1_agregg_2025,XecidyghmdQ,71.78
newcastle_mech1750_lecture_level1_agregg_2025,aDpeyTDW3Io,64.51
newcastle_mech1750_lecture_level1_agregg_2025,ZxiN1Lr7oRU,83.58
newcastle_mech1750_lecture_level1_agregg_2025,fe7zKIxtmWc,77.1
newcastle_mech1750_lecture_level1_agregg_2025,besVGB6cPDg,78.49
newcastle_mech1750_lecture_level1_agregg_2025,-82KvZnJMnQ,69.26
newcastle_mech1750_lecture_level1_agregg_2025,3WvmJN4Ft3w,69.4
newcastle_mech1750_lecture_level1_agregg_2025,klFUk25F_DY,59.41
newcastle_mech1750_lecture_level1_agregg_2025,LVgXCA5pkns,73.08
newcastle_mech1750_lecture_level1_agregg_2025,jVLn12stmwI,65.94
newcastle_mech1750_lecture_level1_agregg_2025,6lS4rYzkNDg,73.13
newcastle_mech1750_lecture_level1_agregg_2025,iiAUwHWYNPw,51.47
newcastle_mech1750_lecture_level1_agregg_2025,b_OFklZ5gzI,54.09
newcastle_mech1750_lecture_level1_agregg_2025,26dBMUlaHJ8,70.57
newcastle_mech1750_lecture_level1_agregg_2025,xFNNEYclvis,60.9
newcastle_mech1750_lecture_level1_agregg_2025,5zEhEwfIJOk,73.43
newcastle_mech1750_lecture_level1_agregg_2025,6vULH16v9FE,73.94
newcastle_mech1750_lecture_level1_agregg_2025,HKSdW1aHM0w,73.54
newcastle_mech1750_lecture_level1_agregg_2025,stNOqGDYej4,79.17
newcastle_mech1750_lecture_level1_agregg_2025,lTdv3rEQz5E,48.99
newcastle_mech1750_lecture_level1_agregg_2025,VPm23vOkp-U,72.8
newcastle_mech1750_lecture_level1_agregg_2025,2PP_a-tDJAY,74.48
newcastle_mech1750_lecture_level1_agregg_2025,l60ktEyuXIQ,67.81
newcastle_mech1750_lecture_level1_agregg_2025,0GPtRiEc5gY,69.38
newcastle_mech1750_lecture_level1_agregg_2025,nsnBsUlj-_I,67.44
newcastle_mech1750_lecture_level1_agregg_2025,m8vyaqOHSOs,81.76
newcastle_mech1750_lecture_level1_agregg_2025,SqXqqFs8o6Y,77.32
newcastle_mech1750_lecture_level1_agregg_2025,cs1k_62dA4k,81.04
newcastle_mech1750_lecture_level1_agregg_2025,SfWWA1DhifM,72.81
newcastle_mech1750_lecture_level1_agregg_2025,Bi9V5Yx8wbk,81.77
newcastle_mech1750_lecture_level1_agregg_2025,yytmPfR8Hr8,77.99
newcastle_mech1750_lecture_level1_agregg_2025,cpTQnXZF-Po,65.37
newcastle_mech1750_lecture_level1_agregg_2025,6Y24GJBtoi0,66.57
newcastle_mech1750_lecture_level1_agregg_2025,7eRRQHbVccY,59.75
newcastle_mech1750_lecture_level1_agregg_2025,a_HtseEewXY,74.88
newcastle_mech1750_lecture_level1_agregg_2025,PnBtwiUWXtk,76.41
newcastle_mech1750_lecture_level1_agregg_2025,1ScOB8qlH5U,77.66
newcastle_mech1750_lecture_level1_agregg_2025,Si9oIxskrtQ,64.0
newcastle_mech1750_lecture_level1_agregg_2025,SKoHssz5FXA,49.32
newcastle_mech1750_lecture_level1_agregg_2025,PN-s3VTj85M,50.89
newcastle_mech1750_lecture_level1_agregg_2025,giahfgYn6CQ,73.91
newcastle_mech1750_lecture_level1_agregg_2025,49cMEc-fszo,62.54
newcastle_mech1750_lecture_level1_agregg_2025,ePbaeTmXi9I,75.57
newcastle_mech1750_lecture_level1_agregg_2025,iWELjCYB9Sk,66.78
newcastle_mech1750_lecture_level1_agregg_2025,W5CTGEj051E,75.28
newcastle_mech1750_lecture_level1_agregg_2025,fAmHbxGDxeQ,74.33
newcastle_mech1750_lecture_level1_agregg_2025,7sNCYzYo_T8,78.87
newcastle_mech1750_lecture_level1_agregg_2025,M8Y4lxajI3c,62.84
newcastle_mech1750_lecture_level1_agregg_2025,Upitsn2JRp0,73.11
newcastle_mech1750_lecture_level1_agregg_2025,GxmDYSewCws,67.27
newcastle_mech1750_lecture_level1_agregg_2025,RrXK6zi0AN4,45.77
newcastle_mech1750_lecture_level1_agregg_2025,cg81nqeBIjw,72.88
newcastle_mech1750_lecture_level1_agregg_2025,7svuQtCSJJs,80.35
newcastle_mech1750_lecture_level1_agregg_2025,EQkdbTVKAA8,78.01
newcastle_mech1750_lecture_level1_agregg_2025,M8kszjlUcZs,77.58
newcastle_mech1750_lecture_level1_agregg_2025,qiIQsyIoZJg,65.64
newcastle_mech1750_lecture_level1_agregg_2025,Xl8zNgXuDxI,70.15
newcastle_mech1750_lecture_level1_agregg_2025,qYQa8scJjQw,74.71
newcastle_mech1750_lecture_level1_agregg_2025,rDpBVrfIqBc,75.95
newcastle_mech1750_lecture_level1_agregg_2025,bRnYqx51NLQ,76.07
newcastle_mech1750_lecture_level1_agregg_2025,eTOLcZtYQBw,63.54
newcastle_mech1750_lecture_level1_agregg_2025,CTzVe5LPgfI,79.02
newcastle_mech1750_lecture_level1_agregg_2025,Um9PPMuyds8,50.01
newcastle_engg2440_lecture_level2_agregg_2025,x4tQ-nIj3u0,67.42
newcastle_engg2440_lecture_level2_agregg_2025,wCX86S1tlKU,63.9
newcastle_engg2440_lecture_level2_agregg_2025,CRRtEvU0vig,56.5
newcastle_engg2440_lecture_level2_agregg_2025,QXSRuGMJ35A,70.96
newcastle_engg2440_lecture_level2_agregg_2025,EMPtaXgf9fU,72.61
newcastle_engg2440_lecture_level2_agregg_2025,PBnAOXsika0,70.03
newcastle_engg2440_lecture_level2_agregg_2025,74xH0aAdq_w,67.56
newcastle_engg2440_lecture_level2_agregg_2025,NU_b_14rdL0,66.35
newcastle_engg2440_lecture_level2_agregg_2025,vWSJPcJ5e3o,52.73
newcastle_engg2440_lecture_level2_agregg_2025,UxNJZpYj_PA,61.86
newcastle_engg2440_lecture_level2_agregg_2025,PDBK7QD2H8M,57.73
newcastle_engg2440_lecture_level2_agregg_2025,9Eoor4RnTVE,68.64
newcastle_engg2440_lecture_level2_agregg_2025,vqbgCi6dm7A,72.84
newcastle_engg2440_lecture_level2_agregg_2025,kqLYifkNn0g,59.08
newcastle_engg2440_lecture_level2_agregg_2025,9iUzqyj0G8Q,68.84
newcastle_engg2440_lecture_level2_agregg_2025,QVlShh0pek8,60.26
newcastle_engg2440_lecture_level2_agregg_2025,sWp_FrTv9YI,73.07
newcastle_engg2440_lecture_level2_agregg_2025,utYSmAbhpuM,59.46
newcastle_engg2440_lecture_level2_agregg_2025,7dSJVYxAf6s,69.31
newcastle_engg2440_lecture_level2_agregg_2025,3sTThSkTxMQ,74.63
newcastle_engg2440_lecture_level2_agregg_2025,mqCdqQg3dKU,72.2
newcastle_engg2440_lecture_level2_agregg_2025,EPy5gLaZQjU,53.51
newcastle_engg2440_lecture_level2_agregg_2025,xAH4KdZuA1Q,55.47
newcastle_engg2440_lecture_level2_agregg_2025,Sq3Kp2Se_GE,52.07
newcastle_engg2440_lecture_level2_agregg_2025,TBY2kPuLXgY,78.49
newcastle_engg2440_lecture_level2_agregg_2025,2I_dvbNQnNw,75.45
newcastle_engg2440_lecture_level2_agregg_2025,sEE33_YIgys,73.65
newcastle_engg2440_lecture_level2_agregg_2025,JU7xZh_1kMA,77.46
newcastle_engg2440_lecture_level2_agregg_2025,MX1Wy7dUI9s,75.23
newcastle_engg2440_lecture_level2_agregg_2025,Cb3mbo0iMkM,70.25
newcastle_engg2440_lecture_level2_agregg_2025,eC8TxgSLVUE,54.55
newcastle_engg2440_lecture_level2_agregg_2025,32SoHr3odY0,77.21
newcastle_engg2440_lecture_level2_agregg_2025,RRPvfy00Kao,66.51
newcastle_engg2440_lecture_level2_agregg_2025,fJxdriXPDtI,72.22
newcastle_engg2440_lecture_level2_agregg_2025,X95pgcvB-eI,67.91
newcastle_engg2440_lecture_level2_agregg_2025,d3T_bD5_c7U,70.23
newcastle_engg2440_lecture_level2_agregg_2025,P6_iWVh4rws,70.55
newcastle_engg2440_lecture_level2_agregg_2025,p7-ZduHd9pw,56.23
newcastle_engg2440_lecture_level2_agregg_2025,BZhE-wsrT_M,73.07
newcastle_engg2440_lecture_level2_agregg_2025,gHjxPhhRIJk,73.32
newcastle_engg2440_lecture_level2_agregg_2025,-Rj6siMAaKo,68.51
newcastle_engg2440_lecture_level2_agregg_2025,ox2zlqA2wQk,71.25
newcastle_engg2440_lecture_level2_agregg_2025,FkJg-PdAVZU,71.78
newcastle_engg2440_lecture_level2_agregg_2025,PWkr63T-gCY,73.98
newcastle_engg2440_lecture_level2_agregg_2025,-2lWMIpLLOY,71.2
newcastle_engg2440_lecture_level2_agregg_2025,jYC0ZWXZPOU,69.22
newcastle_engg2440_lecture_level2_agregg_2025,d-dzoc3j8Xk,77.92
newcastle_engg2440_lecture_level2_agregg_2025,EPrZOaESIXI,75.31
newcastle_engg2440_lecture_level2_agregg_2025,xNi7e0uXBzY,76.47
newcastle_engg2440_lecture_level2_agregg_2025,tOK-3gow_fA,72.28
newcastle_engg2440_lecture_level2_agregg_2025,zTA0K05WPeU,76.13
newcastle_engg2440_lecture_level2_agregg_2025,dJrGo6rb5cM,66.1
newcastle_engg2440_lecture_level2_agregg_2025,IXug_xDPxdQ,73.26
newcastle_engg2440_lecture_level2_agregg_2025,YMq_P2jE684,58.2
