dataset_tag,video_id,average_percentage_viewed,total_views,likes,comments
newcastle_mech1750_lecture_level1_agregg_2024,RrXK6zi0AN4,45.77,2089,12,2
newcastle_mech1750_lecture_level1_agregg_2024,j6SeaP91jZc,36.09,1885,9,0
newcastle_mech1750_lecture_level1_agregg_2024,Um9PPMuyds8,50.01,1656,14,1
newcastle_mech1750_lecture_level1_agregg_2024,U-lYJH3xS6A,42.01,1463,6,1
newcastle_mech1750_lecture_level1_agregg_2024,ZauBNS2gmyA,8.93,1460,No like count available,2
newcastle_mech1750_lecture_level1_agregg_2024,ySd7_VybSsQ,51.19,1369,14,0
newcastle_mech1750_lecture_level1_agregg_2024,lztv4AfG0zo,69.38,1291,8,0
newcastle_mech1750_lecture_level1_agregg_2024,fAmHbxGDxeQ,74.33,1249,8,0
newcastle_mech1750_lecture_level1_agregg_2024,DItWhCUwQZc,45.43,1204,7,0
newcastle_mech1750_lecture_level1_agregg_2024,BC9gf4nF_XU,6.09,1200,No like count available,0
newcastle_mech1750_lecture_level1_agregg_2024,RepS7Q1muC0,45.5,1193,7,0
newcastle_mech1750_lecture_level1_agregg_2024,SKoHssz5FXA,49.32,1106,12,0
newcastle_mech1750_lecture_level1_agregg_2024,qiIQsyIoZJg,65.64,1096,3,0
newcastle_mech1750_lecture_level1_agregg_2024,cg81nqeBIjw,72.88,1095,8,0
newcastle_mech1750_lecture_level1_agregg_2024,0GDz_U-ZrKc,65.81,1093,7,1
newcastle_mech1750_lecture_level1_agregg_2024,M8Y4lxajI3c,62.84,1034,5,0
newcastle_mech1750_lecture_level1_agregg_2024,bNdbjNVh1z0,67.49,1023,2,0
newcastle_mech1750_lecture_level1_agregg_2024,iiAUwHWYNPw,51.47,1019,5,0
newcastle_mech1750_lecture_level1_agregg_2024,7sNCYzYo_T8,78.87,961,4,0
newcastle_mech1750_lecture_level1_agregg_2024,M8kszjlUcZs,77.58,951,8,0
newcastle_mech1750_lecture_level1_agregg_2024,b_OFklZ5gzI,54.09,928,6,0
newcastle_mech1750_lecture_level1_agregg_2024,EQkdbTVKAA8,78.01,924,6,0
newcastle_mech1750_lecture_level1_agregg_2024,jVLn12stmwI,65.94,917,2,0
newcastle_mech1750_lecture_level1_agregg_2024,Xl8zNgXuDxI,70.15,906,6,0
newcastle_mech1750_lecture_level1_agregg_2024,GxmDYSewCws,67.27,902,14,2
newcastle_mech1750_lecture_level1_agregg_2024,pfsGQ35t_nI,65.54,869,4,0
newcastle_mech1750_lecture_level1_agregg_2024,lTdv3rEQz5E,48.99,861,3,0
newcastle_mech1750_lecture_level1_agregg_2024,Upitsn2JRp0,73.11,860,9,0
newcastle_mech1750_lecture_level1_agregg_2024,7svuQtCSJJs,80.35,840,2,0
newcastle_mech1750_lecture_level1_agregg_2024,xjrnZOSaGwA,71.2,825,3,1
newcastle_mech1750_lecture_level1_agregg_2024,klFUk25F_DY,59.41,820,9,0
