dataset_tag,video_id,average_percentage_viewed
newcastle_engg2440_lecture_level2_agregg_2025,Cb3mbo0iMkM,70.25
newcastle_engg2440_lecture_level2_agregg_2025,IXug_xDPxdQ,73.26
newcastle_engg2440_lecture_level2_agregg_2025,dJrGo6rb5cM,66.1
newcastle_engg2440_lecture_level2_agregg_2025,zTA0K05WPeU,76.13
newcastle_engg2440_lecture_level2_agregg_2025,tOK-3gow_fA,72.28
newcastle_engg2440_lecture_level2_agregg_2025,sEE33_YIgys,73.65
newcastle_engg2440_lecture_level2_agregg_2025,xNi7e0uXBzY,76.47
newcastle_engg2440_lecture_level2_agregg_2025,EPrZOaESIXI,75.31
newcastle_engg2440_lecture_level2_agregg_2025,JU7xZh_1kMA,77.46
newcastle_engg2440_lecture_level2_agregg_2025,d-dzoc3j8Xk,77.92
newcastle_engg2440_lecture_level2_agregg_2025,jYC0ZWXZPOU,69.22
newcastle_engg2440_lecture_level2_agregg_2025,-2lWMIpLLOY,71.2
newcastle_engg2440_lecture_level2_agregg_2025,MX1Wy7dUI9s,75.23
newcastle_engg2440_lecture_level2_agregg_2025,PWkr63T-gCY,73.98
newcastle_engg2440_lecture_level2_agregg_2025,ox2zlqA2wQk,71.25
newcastle_engg2440_lecture_level2_agregg_2025,-Rj6siMAaKo,68.51
newcastle_engg2440_lecture_level2_agregg_2025,gHjxPhhRIJk,73.32
newcastle_engg2440_lecture_level2_agregg_2025,BZhE-wsrT_M,73.07
newcastle_engg2440_lecture_level2_agregg_2025,p7-ZduHd9pw,56.23
newcastle_engg2440_lecture_level2_agregg_2025,P6_iWVh4rws,70.55
newcastle_engg2440_lecture_level2_agregg_2025,d3T_bD5_c7U,70.23
newcastle_engg2440_lecture_level2_agregg_2025,X95pgcvB-eI,67.91
newcastle_engg2440_lecture_level2_agregg_2025,fJxdriXPDtI,72.22
newcastle_engg2440_lecture_level2_agregg_2025,RRPvfy00Kao,66.51
newcastle_engg2440_lecture_level2_agregg_2025,32SoHr3odY0,77.21
newcastle_engg2440_lecture_level2_agregg_2025,FkJg-PdAVZU,71.78
newcastle_engg2440_lecture_level2_agregg_2025,xAH4KdZuA1Q,55.47
newcastle_engg2440_lecture_level2_agregg_2025,UxNJZpYj_PA,61.86
newcastle_engg2440_lecture_level2_agregg_2025,PDBK7QD2H8M,57.73
newcastle_engg2440_lecture_level2_agregg_2025,YMq_P2jE684,58.2
newcastle_engg2440_lecture_level2_agregg_2025,7dSJVYxAf6s,69.31
newcastle_engg2440_lecture_level2_agregg_2025,EPy5gLaZQjU,53.51
newcastle_engg2440_lecture_level2_agregg_2025,3sTThSkTxMQ,74.63
newcastle_engg2440_lecture_level2_agregg_2025,mqCdqQg3dKU,72.2
newcastle_engg2440_lecture_level2_agregg_2025,PBnAOXsika0,70.03
newcastle_engg2440_lecture_level2_agregg_2025,kqLYifkNn0g,59.08
newcastle_engg2440_lecture_level2_agregg_2025,Sq3Kp2Se_GE,52.07
newcastle_engg2440_lecture_level2_agregg_2025,TBY2kPuLXgY,78.49
newcastle_engg2440_lecture_level2_agregg_2025,2I_dvbNQnNw,75.45
newcastle_engg2440_lecture_level2_agregg_2025,sWp_FrTv9YI,73.07
newcastle_engg2440_lecture_level2_agregg_2025,utYSmAbhpuM,59.46
newcastle_engg2440_lecture_level2_agregg_2025,9iUzqyj0G8Q,68.84
newcastle_engg2440_lecture_level2_agregg_2025,9Eoor4RnTVE,68.64
newcastle_engg2440_lecture_level2_agregg_2025,vqbgCi6dm7A,72.84
newcastle_engg2440_lecture_level2_agregg_2025,wCX86S1tlKU,63.9
newcastle_engg2440_lecture_level2_agregg_2025,CRRtEvU0vig,56.5
newcastle_engg2440_lecture_level2_agregg_2025,QXSRuGMJ35A,70.96
newcastle_engg2440_lecture_level2_agregg_2025,EMPtaXgf9fU,72.61
newcastle_engg2440_lecture_level2_agregg_2025,x4tQ-nIj3u0,67.42
newcastle_engg2440_lecture_level2_agregg_2025,74xH0aAdq_w,67.56
newcastle_engg2440_lecture_level2_agregg_2025,QVlShh0pek8,60.26
newcastle_engg2440_lecture_level2_agregg_2025,NU_b_14rdL0,66.35
newcastle_engg2440_lecture_level2_agregg_2025,vWSJPcJ5e3o,52.73
newcastle_engg2440_lecture_level2_agregg_2025,eC8TxgSLVUE,54.55
