dataset_tag,video_id,duration_min,speaking_words_count,avg_speaking_speed_wpm,scenes_count,avg_scene_change_per_min,average_percentage_viewed
newcastle_mech1750_lecture_level1_agregg_2025,Upitsn2JRp0,5.87,1234,209.96,0,0.0,73.11
newcastle_mech1750_lecture_level1_agregg_2025,GxmDYSewCws,5.98,1251,209.32,28,4.69,67.27
newcastle_mech1750_lecture_level1_agregg_2025,RrXK6zi0AN4,4.54,990,217.85,4,0.88,45.77
newcastle_mech1750_lecture_level1_agregg_2025,fAmHbxGDxeQ,4.14,812,196.25,7,1.69,74.33
newcastle_mech1750_lecture_level1_agregg_2025,cg81nqeBIjw,4.0,790,197.49,7,1.75,72.88
newcastle_mech1750_lecture_level1_agregg_2025,7svuQtCSJJs,3.7,787,212.81,1,0.27,80.35
newcastle_mech1750_lecture_level1_agregg_2025,EQkdbTVKAA8,3.0,612,203.94,3,1.0,78.01
newcastle_mech1750_lecture_level1_agregg_2025,M8kszjlUcZs,2.78,600,216.05,0,0.0,77.58
newcastle_mech1750_lecture_level1_agregg_2025,7sNCYzYo_T8,2.03,399,196.52,0,0.0,78.87
newcastle_mech1750_lecture_level1_agregg_2025,qiIQsyIoZJg,7.2,1552,215.53,14,1.94,65.64
newcastle_mech1750_lecture_level1_agregg_2025,Xl8zNgXuDxI,6.9,1429,207.11,5,0.72,70.15
newcastle_mech1750_lecture_level1_agregg_2025,qYQa8scJjQw,5.64,1138,201.77,0,0.0,74.71
newcastle_mech1750_lecture_level1_agregg_2025,rDpBVrfIqBc,5.61,1121,199.72,1,0.18,75.95
newcastle_mech1750_lecture_level1_agregg_2025,bRnYqx51NLQ,6.04,1200,198.79,4,0.66,76.07
newcastle_mech1750_lecture_level1_agregg_2025,eTOLcZtYQBw,6.94,1443,208.06,1,0.14,63.54
newcastle_mech1750_lecture_level1_agregg_2025,CTzVe5LPgfI,5.27,968,183.52,16,3.03,79.02
newcastle_mech1750_lecture_level1_agregg_2025,Um9PPMuyds8,2.43,530,218.48,0,0.0,50.01
newcastle_mech1750_lecture_level1_agregg_2025,M8Y4lxajI3c,9.51,1951,205.06,22,2.31,62.84
newcastle_mech1750_lecture_level1_agregg_2025,pfsGQ35t_nI,10.15,1978,194.84,0,0.0,65.54
newcastle_mech1750_lecture_level1_agregg_2025,jVLn12stmwI,8.34,1677,200.99,0,0.0,65.94
newcastle_mech1750_lecture_level1_agregg_2025,iWELjCYB9Sk,8.59,1794,208.77,0,0.0,66.78
newcastle_mech1750_lecture_level1_agregg_2025,-XOj8ODLkP4,10.25,2168,211.6,16,1.56,65.38
newcastle_mech1750_lecture_level1_agregg_2025,bNdbjNVh1z0,6.53,1245,190.68,4,0.61,67.49
newcastle_mech1750_lecture_level1_agregg_2025,xjrnZOSaGwA,5.88,1150,195.5,11,1.87,71.2
newcastle_mech1750_lecture_level1_agregg_2025,j6SeaP91jZc,4.82,996,206.55,15,3.11,36.09
newcastle_mech1750_lecture_level1_agregg_2025,P6GzWeu9VGA,6.59,1368,207.5,0,0.0,77.03
newcastle_mech1750_lecture_level1_agregg_2025,pEc0ApnP0f4,5.74,1229,214.09,12,2.09,71.83
