dataset_tag,video_id,average_percentage_viewed
institution_unitcode_lecture_year1_speaker_2020,Cb3mbo0iMkM,70.25
institution_unitcode_lecture_year1_speaker_2020,IXug_xDPxdQ,73.26
institution_unitcode_lecture_year1_speaker_2020,dJrGo6rb5cM,66.1
institution_unitcode_lecture_year1_speaker_2020,zTA0K05WPeU,76.13
institution_unitcode_lecture_year1_speaker_2020,tOK-3gow_fA,72.28
institution_unitcode_lecture_year1_speaker_2020,sEE33_YIgys,73.65
institution_unitcode_lecture_year1_speaker_2020,xNi7e0uXBzY,76.47
institution_unitcode_lecture_year1_speaker_2020,EPrZOaESIXI,75.31
institution_unitcode_lecture_year1_speaker_2020,JU7xZh_1kMA,77.46
institution_unitcode_lecture_year1_speaker_2020,d-dzoc3j8Xk,77.92
