video_id,average_percentage_viewed,video_type
Upitsn2JRp0,73.11,Lecture
GxmDYSewCws,67.27,Lecture
RrXK6zi0AN4,45.77,Lecture
fAmHbxGDxeQ,74.33,Lecture
cg81nqeBIjw,72.88,Lecture
7svuQtCSJJs,80.35,Lecture
EQkdbTVKAA8,78.01,Lecture
M8kszjlUcZs,77.58,Lecture
7sNCYzYo_T8,78.87,Lecture
qiIQsyIoZJg,65.64,Lecture
Xl8zNgXuDxI,70.15,Lecture
qYQa8scJjQw,74.71,Lecture
rDpBVrfIqBc,75.95,Lecture
bRnYqx51NLQ,76.07,Lecture
eTOLcZtYQBw,63.54,Lecture
CTzVe5LPgfI,79.02,Lecture
Um9PPMuyds8,50.01,Lecture
M8Y4lxajI3c,62.84,Lecture
pfsGQ35t_nI,65.54,Lecture
jVLn12stmwI,65.94,Lecture
iWELjCYB9Sk,66.78,Lecture
-XOj8ODLkP4,65.38,Lecture
bNdbjNVh1z0,67.49,Lecture
xjrnZOSaGwA,71.2,Lecture
j6SeaP91jZc,36.09,Lecture
P6GzWeu9VGA,77.03,Lecture
pEc0ApnP0f4,71.83,Lecture
tGqy7OFc09w,79.27,Lecture
w3C3B6XM1Fk,75.8,Lecture
aDpeyTDW3Io,64.51,Lecture
ZxiN1Lr7oRU,83.58,Lecture
fe7zKIxtmWc,77.1,Lecture
besVGB6cPDg,78.49,Lecture
-82KvZnJMnQ,69.26,Lecture
3WvmJN4Ft3w,69.4,Lecture
XecidyghmdQ,71.78,Lecture
XDKGPwTxu1k,64.78,Lecture
naLNdZ4pVaQ,69.2,Lecture
av3PnE_3wWE,75.31,Lecture
Tr0AqoKIUjA,60.72,Lecture
otCFPfAZqb0,73.86,Lecture
RepS7Q1muC0,45.5,Lecture
SXrXL8Bc9Gk,66.13,Lecture
q2Hgxjv9Uxg,68.39,Lecture
fKfHIl0QrtY,67.47,Lecture
QgvNlgWubKk,73.85,Lecture
w3Qy6r0rOVg,79.25,Lecture
DkRcrKDJ3f0,78.13,Lecture
U-lYJH3xS6A,42.01,Lecture
QI0Myi45MFo,76.62,Lecture
R5GVD_tzt6A,81.04,Lecture
o0qv42G_Enk,82.09,Lecture
v6EwT5TB6Ak,82.56,Lecture
klFUk25F_DY,59.41,Lecture
3yuubFyM09g,65.18,Lecture
LVgXCA5pkns,73.08,Lecture
cs1k_62dA4k,81.04,Lecture
Bi9V5Yx8wbk,81.77,Lecture
yytmPfR8Hr8,77.99,Lecture
cpTQnXZF-Po,65.37,Lecture
6Y24GJBtoi0,66.57,Lecture
7eRRQHbVccY,59.75,Lecture
a_HtseEewXY,74.88,Lecture
SfWWA1DhifM,72.81,Lecture
PnBtwiUWXtk,76.41,Lecture
Si9oIxskrtQ,64.0,Lecture
SKoHssz5FXA,49.32,Lecture
PN-s3VTj85M,50.89,Lecture
giahfgYn6CQ,73.91,Lecture
49cMEc-fszo,62.54,Lecture
ePbaeTmXi9I,75.57,Lecture
1ScOB8qlH5U,77.66,Lecture
SqXqqFs8o6Y,77.32,Lecture
stNOqGDYej4,79.17,Lecture
m8vyaqOHSOs,81.76,Lecture
iiAUwHWYNPw,51.47,Lecture
b_OFklZ5gzI,54.09,Lecture
26dBMUlaHJ8,70.57,Lecture
xFNNEYclvis,60.9,Lecture
5zEhEwfIJOk,73.43,Lecture
6vULH16v9FE,73.94,Lecture
6lS4rYzkNDg,73.13,Lecture
HKSdW1aHM0w,73.54,Lecture
lTdv3rEQz5E,48.99,Lecture
VPm23vOkp-U,72.8,Lecture
2PP_a-tDJAY,74.48,Lecture
l60ktEyuXIQ,67.81,Lecture
0GPtRiEc5gY,69.38,Lecture
nsnBsUlj-_I,67.44,Lecture
W5CTGEj051E,75.28,Lecture
